更新时间,#genre#
20250104-15-24-35,url


RespoTime,whitelist,#genre#
358.45ms,CCTV-3综艺,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
381.33ms,湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
391.36ms,湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8
413.24ms,湖南卫视,http://60.12.183.46:9901/tsfile/live/0019_1.m3u8
464.94ms,湖南卫视,http://123.7.110.43:9901/tsfile/live/0128_3.m3u8
471.32ms,湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
483.74ms,湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8
490.73ms,CCTV-3综艺,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8
493.30ms,CCTV-3综艺,http://61.150.67.62:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
519.49ms,湖南卫视,http://221.224.4.170:1111/tsfile/live/0128_1.m3u8
663.24ms,CCTV-3综艺,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw1581797368_796839580/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265667206&timezone=UTC&mtv_session=930288b6183258a028c1df87d499752c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4fe4ab3b93d2b7f4fe74cdc14f0914bb
833.01ms,湖南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=11355377224826061225
955.45ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000001000011218/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000011218
1132.52ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/5000000002000020548/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000020548
1137.50ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/8378175926191110263/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8378175926191110263
1146.11ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000005000265003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000265003
1623.42ms,湖南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3872&tk=2894ccdba8fc
2637.71ms,CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
